Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
139,3,1,1,1,Gisha,7300000000.0,243333.33
110,3,1,1,1,Keshavarz Boulevard,3950000000.0,131666.67
78,2,0,0,1,Parand,370000000.0,12333.33
79,2,0,0,0,Baghestan,750000000.0,25000.0
66,2,1,1,1,Salsabil,1725000000.0,57500.0
78,2,1,1,1,Kahrizak,780000000.0,26000.0
85,2,1,1,1,Shahryar,1419000000.0,47300.0
100,2,1,1,0,Qarchak,1200000000.0,40000.0
80,2,1,1,1,Northren Jamalzadeh,3600000000.0,120000.0
44,1,1,1,0,Salsabil,1050000000.0,35000.0
120,2,1,1,0,Shahryar,1200000000.0,40000.0
50,1,0,1,0,Shahrake Qods,340000000.0,11333.33
121,3,1,1,0,Ostad Moein,3300000000.0,110000.0
80,2,1,1,1,Azarbaijan,2800000000.0,93333.33
70,2,0,1,1,Bahar,1200000000.0,40000.0
160,1,0,0,0,Qarchak,3600000.0,120.0
40,0,0,0,0,Pakdasht,165000000.0,5500.0
88,2,1,1,1,Railway,2860000000.0,95333.33
141,3,1,1,1,Persian Gulf Martyrs Lake,3810000000.0,127000.0
140,3,1,1,1,Persian Gulf Martyrs Lake,1790000000.0,59666.67
120,2,1,1,1,Persian Gulf Martyrs Lake,1530000000.0,51000.0
66,2,0,1,0,Beryanak,1000000000.0,33333.33
70,2,1,1,1,Punak,3500000000.0,116666.67
75,2,1,0,1,Heshmatieh,3000000000.0,100000.0
70,2,0,1,1,Elm-o-Sanat,1800000000.0,60000.0
150,3,1,1,1,Saadat Abad,20000000000.0,666666.67
95,2,1,1,1,Golestan,950000000.0,31666.67
127,2,1,1,1,Southern Janatabad,6000000000.0,200000.0
123,3,1,1,1,Shahr-e-Ziba,3700000000.0,123333.33
63,2,1,1,1,Southern Janatabad,2000000000.0,66666.67
90,2,1,1,1,Punak,3050000000.0,101666.67
105,2,1,1,1,Pardis,605000000.0,20166.67
180,3,1,1,1,Pasdaran,9900000000.0,330000.0
120,3,1,0,1,Pirouzi,3700000000.0,123333.33
65,2,1,1,1,Feiz Garden,2500000000.0,83333.33
158,3,1,1,1,Farmanieh,10480000000.0,349333.33
144,3,1,1,1,Chardivari,7632000000.0,254400.0
144,3,1,1,1,Punak,7632000000.0,254400.0
130,3,1,1,1,Gheitarieh,12300000000.0,410000.0
245,3,1,1,1,Farmanieh,26950000000.0,898333.33
190,3,1,1,1,Kamranieh,24300000000.0,810000.0
63,2,1,1,1,Central Janatabad,3000000000.0,100000.0
75,2,1,1,1,East Ferdows Boulevard,2100000000.0,70000.0
88,2,1,0,1,Gholhak,4700000000.0,156666.67
108,2,1,1,1,Pasdaran,9180000000.0,306000.0
117,2,1,1,1,Islamshahr,1579500000.0,52650.0
200,3,1,1,1,Pasdaran,12000000000.0,400000.0
65,1,1,1,0,Pirouzi,1750000000.0,58333.33
90,2,1,1,1,Central Janatabad,3780000000.0,126000.0
125,2,1,1,1,Heravi,8100000000.0,270000.0
140,3,1,1,1,Heravi,9100000000.0,303333.33
71,2,0,1,1,Hashemi,1550000000.0,51666.67
71,2,0,1,1,Jeyhoon,1640000000.0,54666.67
236,4,1,1,1,Gheitarieh,20000000000.0,666666.67
67,2,1,1,1,Central Janatabad,2750000000.0,91666.67
60,1,1,1,1,Punak,1750000000.0,58333.33
220,3,1,1,1,Heravi,15400000000.0,513333.33
44,1,1,1,0,Andisheh,350000000.0,11666.67
68,1,1,1,1,Heravi,4115000000.0,137166.67
100,2,1,1,1,Pasdaran,8000000000.0,266666.67
86,2,1,1,1,Pardis,580000000.0,19333.33
84,2,1,1,1,Pardis,560000000.0,18666.67
94,2,1,1,1,Heravi,4800000000.0,160000.0
55,1,0,1,0,West Ferdows Boulevard,1550000000.0,51666.67
113,2,1,1,1,Saadat Abad,7500000000.0,250000.0
71,2,1,1,1,Islamshahr,630000000.0,21000.0
70,2,1,1,0,Dehkade Olampic,2000000000.0,66666.67
200,3,1,1,1,Golestan,2400000000.0,80000.0
106,2,1,1,1,Golestan,1100000000.0,36666.67
320,4,1,1,1,Saadat Abad,24000000000.0,800000.0
114,2,1,1,1,West Pars,3820000000.0,127333.33
100,2,1,1,1,Punak,6000000000.0,200000.0
122,2,1,1,1,Saadat Abad,5800000000.0,193333.33
200,2,1,1,0,Damavand,3500000000.0,116666.67
154,3,1,1,1,Saadat Abad,12300000000.0,410000.0
210,3,1,1,1,Pasdaran,15750000000.0,525000.0
200,3,1,1,1,East Ferdows Boulevard,11000000000.0,366666.67
65,1,1,1,1,Southern Janatabad,3000000000.0,100000.0
124,3,1,1,1,Pirouzi,3968000000.0,132266.67
83,2,1,1,1,Republic,1909000000.0,63633.33
270,4,1,1,1,Farmanieh,37800000000.0,1260000.0
104,2,1,1,1,East Ferdows Boulevard,5700000000.0,190000.0
150,3,1,1,1,Zaferanieh,10490000000.0,349666.67
103,3,1,1,1,West Ferdows Boulevard,3200000000.0,106666.67
48,1,1,1,1,West Ferdows Boulevard,1920000000.0,64000.0
165,3,1,1,1,Gheitarieh,12300000000.0,410000.0
135,2,1,1,0,Gheitarieh,7400000000.0,246666.67
86,2,1,1,1,Saadat Abad,6200000000.0,206666.67
75,2,1,1,1,East Ferdows Boulevard,2350000000.0,78333.33
58,1,1,1,1,East Ferdows Boulevard,1850000000.0,61666.67
125,2,1,1,1,Shahrake Gharb,21500000000.0,716666.67
82,2,1,1,1,Qazvin Imamzadeh Hassan,1886000000.0,62866.67
58,2,1,1,1,Shahran,2200000000.0,73333.33
101,2,1,1,1,Beryanak,2323000000.0,77433.33
90,2,1,1,1,Niavaran,6800000000.0,226666.67
180,3,1,1,1,Farmanieh,20700000000.0,690000.0
132,3,1,1,1,Gheitarieh,6250000000.0,208333.33
81,2,1,1,1,Valiasr,1863000000.0,62100.0
153,3,1,1,1,Pasdaran,13000000000.0,433333.33
166,3,1,1,1,Qalandari,12500000000.0,416666.67
200,3,1,1,1,Pasdaran,17000000000.0,566666.67
113,2,1,1,1,Pasdaran,8500000000.0,283333.33
100,2,1,1,1,Valiasr,2300000000.0,76666.67
80,2,1,1,1,Central Janatabad,3350000000.0,111666.67
76,2,1,1,1,Jeyhoon,2000000000.0,66666.67
128,3,1,1,1,Punak,5700000000.0,190000.0
210,3,1,1,1,Shahrake Gharb,27000000000.0,900000.0
140,2,1,1,1,Shahrake Gharb,12600000000.0,420000.0
74,2,1,1,1,Amir Bahador,1702000000.0,56733.33
75,1,1,1,1,Central Janatabad,3000000000.0,100000.0
120,2,1,1,1,Pasdaran,7500000000.0,250000.0
120,2,1,1,1,Pasdaran,7500000000.0,250000.0
85,2,1,1,1,Ekhtiarieh,5000000000.0,166666.67
105,2,1,1,1,Pardis,700000000.0,23333.33
175,3,1,1,1,Farmanieh,15600000000.0,520000.0
170,3,1,1,1,Farmanieh,15350000000.0,511666.67
58,1,1,1,1,Ekbatan,2810000000.0,93666.67
75,2,1,1,1,Parand,395000000.0,13166.67
160,3,1,1,1,Gheitarieh,15100000000.0,503333.33
62,1,1,1,1,Shahran,1850000000.0,61666.67
93,2,1,1,1,Rudhen,1450000000.0,48333.33
75,2,1,1,1,Islamshahr,715000000.0,23833.33
86,2,1,1,0,Islamshahr,1200000000.0,40000.0
120,2,1,1,1,Southern Program Organization,4260000000.0,142000.0
95,2,1,1,1,Andisheh,1500000000.0,50000.0
70,2,1,1,0,West Ferdows Boulevard,2120000000.0,70666.67
75,2,1,1,0,East Ferdows Boulevard,2000000000.0,66666.67
81,2,1,0,1,Pardis,590000000.0,19666.67
65,1,1,1,0,West Ferdows Boulevard,1930000000.0,64333.33
75,2,1,1,1,East Ferdows Boulevard,2730000000.0,91000.0
106,2,1,1,0,East Ferdows Boulevard,3150000000.0,105000.0
115,2,1,1,1,East Ferdows Boulevard,4600000000.0,153333.33
100,2,1,1,1,Shahr-e-Ziba,3000000000.0,100000.0
118,2,1,1,1,East Ferdows Boulevard,4500000000.0,150000.0
116,2,1,1,1,East Ferdows Boulevard,5100000000.0,170000.0
76,2,1,1,1,Shahr-e-Ziba,2200000000.0,73333.33
74,2,1,1,0,East Ferdows Boulevard,2300000000.0,76666.67
96,2,1,1,1,Saadat Abad,4500000000.0,150000.0
87,2,1,1,1,Pardis,625000000.0,20833.33
43,1,1,1,0,Northern Janatabad,1620000000.0,54000.0
155,3,1,1,1,Niavaran,17050000000.0,568333.33
53,1,1,1,1,East Ferdows Boulevard,1920000000.0,64000.0
160,3,1,1,1,Farmanieh,17600000000.0,586666.67
78,2,1,1,1,Shahr-e-Ziba,2250000000.0,75000.0
230,3,1,1,1,Niavaran,25300000000.0,843333.33
55,1,1,1,1,West Ferdows Boulevard,1850000000.0,61666.67
120,2,1,1,0,Saadat Abad,11700000000.0,390000.0
78,2,1,1,1,Southern Janatabad,3600000000.0,120000.0
95,2,1,1,1,Southern Janatabad,4400000000.0,146666.67
170,3,1,1,1,Gheitarieh,15400000000.0,513333.33
175,3,1,1,1,Shahrake Gharb,22750000000.0,758333.33
115,3,1,1,1,Punak,4500000000.0,150000.0
113,2,1,1,1,Punak,4300000000.0,143333.33
85,2,1,1,1,Punak,3380000000.0,112666.67
140,3,1,1,1,Saadat Abad,10000000000.0,333333.33
90,2,1,1,1,Saadat Abad,6500000000.0,216666.67
63,1,1,0,0,Punak,2200000000.0,73333.33
75,2,1,1,1,Central Janatabad,3220000000.0,107333.33
130,3,1,1,1,Punak,6240000000.0,208000.0
91,2,1,1,1,Punak,3350000000.0,111666.67
121,3,1,1,1,Persian Gulf Martyrs Lake,3650000000.0,121666.67
140,3,1,1,1,Saadat Abad,15500000000.0,516666.67
126,2,1,1,1,East Ferdows Boulevard,5500000000.0,183333.33
450,2,1,1,0,Absard,4200000000.0,140000.0
500,2,1,1,0,Absard,3900000000.0,130000.0
110,1,1,1,1,Pasdaran,6600000000.0,220000.0
145,3,1,1,1,Haft Tir,4700000000.0,156666.67
81,2,1,1,1,Shahrake Qods,810000000.0,27000.0
64,2,1,1,1,Shahr-e-Ziba,2200000000.0,73333.33
112,2,1,1,1,Shahr-e-Ziba,3680000000.0,122666.67
192,3,1,1,1,Marzdaran,12670000000.0,422333.33
164,3,1,1,1,Marzdaran,10000000000.0,333333.33
135,3,1,1,1,Pasdaran,8100000000.0,270000.0
170,3,1,1,1,Mahallati,9200000000.0,306666.67
130,3,1,1,1,Mahallati,5200000000.0,173333.33
84,2,1,1,1,Shahran,3400000000.0,113333.33
82,2,1,1,1,Shahran,3550000000.0,118333.33
265,3,1,1,1,Farmanieh,20000000000.0,666666.67
60,1,1,1,1,Southern Janatabad,1950000000.0,65000.0
145,3,1,1,1,Pasdaran,15500000000.0,516666.67
65,1,0,1,1,Southern Janatabad,2000000000.0,66666.67
60,1,1,1,0,Southern Janatabad,2280000000.0,76000.0
63,2,1,1,1,Southern Janatabad,2000000000.0,66666.67
70,2,1,1,1,Southern Janatabad,1950000000.0,65000.0
92,2,1,1,1,Feiz Garden,3900000000.0,130000.0
98,2,1,1,1,Pasdaran,7800000000.0,260000.0
62,1,1,1,1,Southern Janatabad,2280000000.0,76000.0
65,1,1,1,1,Punak,2900000000.0,96666.67
90,2,1,1,1,Ozgol,5000000000.0,166666.67
59,2,1,1,1,Southern Janatabad,1900000000.0,63333.33
63,2,1,1,1,Southern Janatabad,2000000000.0,66666.67
60,2,1,1,1,Southern Janatabad,2200000000.0,73333.33
70,2,1,1,1,Southern Janatabad,2500000000.0,83333.33
60,1,1,1,1,Southern Janatabad,2200000000.0,73333.33
165,3,1,1,1,Pasdaran,10500000000.0,350000.0
135,2,1,1,1,Zaferanieh,17500000000.0,583333.33
65,1,1,1,1,Southern Janatabad,2000000000.0,66666.67
60,1,1,1,1,Southern Janatabad,2250000000.0,75000.0
60,1,1,1,1,Southern Janatabad,2250000000.0,75000.0
86,2,1,1,1,Southern Janatabad,3600000000.0,120000.0
109,2,1,1,1,Heravi,6000000000.0,200000.0
98,2,1,1,0,Narmak,2842000000.0,94733.33
80,2,1,1,1,Central Janatabad,3120000000.0,104000.0
143,3,1,1,1,Gheitarieh,8860000000.0,295333.33
95,2,1,1,1,Saadat Abad,4550000000.0,151666.67
86,2,1,1,1,Punak,3700000000.0,123333.33
160,3,1,1,1,Gheitarieh,10000000000.0,333333.33
200,3,1,1,1,Pasdaran,16580000000.0,552666.67
74,1,1,1,1,Punak,3250000000.0,108333.33
350,3,1,1,1,Zaferanieh,52500000000.0,1750000.0
87,2,1,1,1,Northern Janatabad,3550000000.0,118333.33
82,2,1,1,1,West Ferdows Boulevard,3450000000.0,115000.0
55,1,1,1,1,Shahr-e-Ziba,2490000000.0,83000.0
148,3,1,1,1,Ekhtiarieh,8400000000.0,280000.0
55,1,1,0,1,Shahr-e-Ziba,2020000000.0,67333.33
100,2,1,1,0,Southern Janatabad,3800000000.0,126666.67
55,1,0,1,0,West Ferdows Boulevard,1550000000.0,51666.67
130,3,1,1,1,Central Janatabad,5300000000.0,176666.67
335,4,1,1,1,Saadat Abad,33500000000.0,1116666.67
320,4,1,1,1,Saadat Abad,40000000000.0,1333333.33
192,3,1,1,1,Saadat Abad,19500000000.0,650000.0
100,2,1,1,1,Gheitarieh,8000000000.0,266666.67
148,3,1,1,1,Saadat Abad,14800000000.0,493333.33
145,2,1,1,1,Shahrake Gharb,14700000000.0,490000.0
192,4,1,1,1,Saadat Abad,22000000000.0,733333.33
235,3,1,1,1,North Program Organization,16450000000.0,548333.33
225,3,1,1,1,Heravi,15750000000.0,525000.0
221,4,1,1,1,Saadat Abad,25000000000.0,833333.33
312,4,1,1,1,Farmanieh,45000000000.0,1500000.0
188,3,1,1,1,Ozgol,17672000000.0,589066.67
170,2,1,1,1,Farmanieh,12400000000.0,413333.33
198,3,1,1,1,Farmanieh,27720000000.0,924000.0
80,2,1,1,1,North Program Organization,3100000000.0,103333.33
170,3,1,1,1,Niavaran,18700000000.0,623333.33
110,2,1,1,1,Tajrish,6600000000.0,220000.0
650,2,1,1,0,Absard,5200000000.0,173333.33
200,3,1,1,1,Saadat Abad,12000000000.0,400000.0
101,3,1,1,1,Ekhtiarieh,6500000000.0,216666.67
104,2,1,1,1,Feiz Garden,3850000000.0,128333.33
70,2,1,1,1,Northern Janatabad,3200000000.0,106666.67
76,2,1,1,0,Shahr-e-Ziba,2570000000.0,85666.67
110,2,1,1,1,Feiz Garden,4300000000.0,143333.33
160,2,1,1,1,Pasdaran,16200000000.0,540000.0
179,3,1,1,1,Dorous,13800000000.0,460000.0
256,3,1,1,1,Dorous,18500000000.0,616666.67
90,2,1,1,1,Feiz Garden,3850000000.0,128333.33
77,2,1,1,1,Shahr-e-Ziba,2570000000.0,85666.67
96,2,1,1,1,Pasdaran,5600000000.0,186666.67
75,1,1,1,1,Central Janatabad,3250000000.0,108333.33
79,2,1,1,1,Abazar,3000000000.0,100000.0
67,1,1,1,1,Saadat Abad,3400000000.0,113333.33
125,2,1,1,1,Shahr-e-Ziba,6400000000.0,213333.33
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
91,2,1,1,1,Saadat Abad,5400000000.0,180000.0
105,2,1,1,1,Parand,1417500000.0,47250.0
66,2,1,1,1,Ostad Moein,1585000000.0,52833.33
86,2,1,1,1,Southern Janatabad,3270000000.0,109000.0
72,2,1,1,0,Northern Janatabad,2380000000.0,79333.33
148,2,1,0,1,Koohsar,4500000000.0,150000.0
84,2,1,1,1,Saadat Abad,4600000000.0,153333.33
128,2,1,1,1,Niavaran,12800000000.0,426666.67
65,1,1,1,1,West Ferdows Boulevard,3900000000.0,130000.0
140,3,1,1,1,Pasdaran,11800000000.0,393333.33
115,2,1,1,1,Ekhtiarieh,7400000000.0,246666.67
105,2,1,1,1,Saadat Abad,5700000000.0,190000.0
87,2,1,1,1,Pardis,650000000.0,21666.67
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
60,1,1,1,1,Persian Gulf Martyrs Lake,875000000.0,29166.67
68,1,1,1,1,Southern Program Organization,2630000000.0,87666.67
49,1,1,1,1,West Ferdows Boulevard,2200000000.0,73333.33
103,2,1,1,1,Hekmat,9270000000.0,309000.0
55,1,1,1,1,West Ferdows Boulevard,2200000000.0,73333.33
140,3,1,1,1,Punak,7700000000.0,256666.67
257,4,1,1,1,Persian Gulf Martyrs Lake,12850000000.0,428333.33
82,2,1,1,1,Punak,4018000000.0,133933.33
167,3,1,1,1,Punak,10688000000.0,356266.67
53,1,0,1,0,West Ferdows Boulevard,1640000000.0,54666.67
51,1,0,1,0,West Ferdows Boulevard,1550000000.0,51666.67
54,1,1,1,0,West Ferdows Boulevard,2130000000.0,71000.0
82,2,1,1,1,Sattarkhan,4100000000.0,136666.67
75,2,1,1,1,West Ferdows Boulevard,2800000000.0,93333.33
98,2,1,1,1,West Ferdows Boulevard,4520000000.0,150666.67
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
70,1,1,1,1,Niavaran,5600000000.0,186666.67
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
64,1,1,1,1,Ekbatan,3700000000.0,123333.33
85,2,1,1,1,Jeyhoon,2100000000.0,70000.0
48,1,0,1,0,Parastar,980000000.0,32666.67
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
246,3,1,1,1,Ekhtiarieh,22500000000.0,750000.0
168,3,1,1,1,Gheitarieh,14000000000.0,466666.67
280,4,1,1,1,Saadat Abad,38500000000.0,1283333.33
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
84,2,1,1,1,Pardis,680000000.0,22666.67
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
108,2,1,1,1,Gisha,5180000000.0,172666.67
62,1,1,1,1,Shahr-e-Ziba,2580000000.0,86000.0
70,2,1,1,1,Southern Janatabad,3370000000.0,112333.33
180,3,1,1,1,Pasdaran,9900000000.0,330000.0
135,3,1,1,1,Abazar,6480000000.0,216000.0
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
108,2,1,1,1,Farmanieh,6200000000.0,206666.67
91,2,1,1,1,Ekhtiarieh,5180000000.0,172666.67
120,2,1,1,1,Gheitarieh,8900000000.0,296666.67
112,2,1,1,0,Gheitarieh,7500000000.0,250000.0
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
123,2,1,1,1,Pirouzi,4059000000.0,135300.0
69,2,1,1,1,Pirouzi,1800000000.0,60000.0
400,5,1,1,0,Lavasan,85000000000.0,2833333.33
660,5,1,1,0,Lavasan,55000000000.0,1833333.33
66,1,1,0,1,Pirouzi,1850000000.0,61666.67
80,2,1,1,1,Ostad Moein,2150000000.0,71666.67
44,1,1,1,0,Pirouzi,880000000.0,29333.33
180,3,1,1,1,East Ferdows Boulevard,9360000000.0,312000.0
164,3,1,1,1,East Ferdows Boulevard,9840000000.0,328000.0
213,3,1,1,1,East Ferdows Boulevard,14484000000.0,482800.0
100,2,1,1,1,Shahr-e-Ziba,3400000000.0,113333.33
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
300,3,1,1,1,Niavaran,55500000000.0,1850000.0
126,3,1,1,1,Ostad Moein,3000000000.0,100000.0
85,2,1,1,1,Majidieh,2500000000.0,83333.33
75,2,1,1,0,Shahr-e-Ziba,1890000000.0,63000.0
57,1,0,1,1,Parastar,1270000000.0,42333.33
61,1,0,1,0,Shahr-e-Ziba,1990000000.0,66333.33
79,2,1,1,1,Jeyhoon,1817000000.0,60566.67
68,1,1,1,1,Pirouzi,2450000000.0,81666.67
105,2,1,1,1,Pardis,1000000000.0,33333.33
105,2,1,1,1,Saadat Abad,7700000000.0,256666.67
160,2,1,1,1,Pardis,1930000000.0,64333.33
100,2,1,1,1,Pardis,585000000.0,19500.0
125,3,1,1,1,Saadat Abad,12500000000.0,416666.67
94,2,1,0,1,Pardis,990000000.0,33000.0
80,2,0,1,0,Northern Janatabad,2200000000.0,73333.33
75,2,1,0,1,Parastar,2300000000.0,76666.67
99,3,1,1,1,North Program Organization,4190000000.0,139666.67
90,2,1,1,1,Shahr-e-Ziba,4099000000.0,136633.33
129,3,1,1,1,Shahr-e-Ziba,4500000000.0,150000.0
245,3,1,1,1,Aqdasieh,36500000000.0,1216666.67
102,2,1,1,0,Parastar,2030000000.0,67666.67
141,3,1,1,1,Pakdasht,1225000000.0,40833.33
96,2,1,1,1,Shahr-e-Ziba,3840000000.0,128000.0
155,3,1,1,1,Heravi,8600000000.0,286666.67
300,3,1,1,1,Farmanieh,55500000000.0,1850000.0
87,2,1,1,1,Gheitarieh,6264000000.0,208800.0
87,2,1,1,1,Gheitarieh,6264000000.0,208800.0
105,2,1,1,1,Gheitarieh,6200000000.0,206666.67
61,1,1,1,1,Shahran,1850000000.0,61666.67
